,tsi,stfi,caliper,moisture,basisweight,rct,prediction,,,
289,5.22,29.36,15.37,6.2,52.52,132,125.7117242,-6.288275771,6.288275771,
290,5.07,28.22,15.43,6.12,52.52,128,124.8458791,-3.154120884,3.154120884,
291,4.46,27.04,14.88,5.98,52.53,123,122.1744379,-0.825562139,0.825562139,
292,4.69,24.59,15.44,6.27,52.53,123,121.8755519,-1.124448136,1.124448136,
293,4.42,27.09,15.02,6.48,52.54,121,121.264513,0.264513027,0.264513027,
294,4.98,29.96,15.3,6.26,52.54,126,124.7506768,-1.249323244,1.249323244,
295,5.12,27.71,15.42,6.38,52.54,121,124.6094806,3.60948057,3.60948057,
296,4.7,26.69,15.57,6.15,52.54,121,122.4324703,1.432470337,1.432470337,
297,5.19,29.57,15.53,6.06,52.55,124,125.6703134,1.670313417,1.670313417,
298,5,28.9,15.27,6.68,52.55,123,124.1078108,1.107810808,1.107810808,
299,5.1,28.52,15.52,5.9,52.55,126,125.2616183,-0.738381707,0.738381707,
300,4.84,26.04,15.59,6.3,52.55,125,122.7076051,-2.292394947,2.292394947,
301,4.93,30.32,14.13,6.76,52.55,125,124.7882791,-0.211720855,0.211720855,
302,5,30.57,15.39,6.64,52.55,120,124.411946,4.41194599,4.41194599,
303,4.84,30.82,14.21,6.94,52.55,128,124.3923066,-3.607693394,3.607693394,
304,4.82,25.97,15.63,5.78,52.56,122,123.1716133,1.171613295,1.171613295,
305,5.01,30.14,15.61,6.49,52.56,124,124.3955669,0.395566908,0.395566908,
306,4.87,27.26,15.54,6.47,52.56,125,123.05184,-1.948159984,1.948159984,
307,4.9,27.49,15.74,6.05,52.56,127,123.6669042,-3.333095847,3.333095847,
308,4.67,26.41,15.63,6.33,52.57,122,121.9449765,-0.055023512,0.055023512,
309,5.3,28.97,15.13,6.42,52.57,139,125.893292,-13.10670799,13.10670799,
310,4.99,29.01,15.59,6.22,52.58,122,124.4363977,2.436397698,2.436397698,
311,5.03,29.89,15.61,6.25,52.58,123,124.7499885,1.749988482,1.749988482,
312,4.96,28.63,15.56,6.12,52.59,123,124.3452231,1.345223067,1.345223067,
313,4.63,27.41,15.2,6.07,52.59,124,122.7128769,-1.287123103,1.287123103,
314,5.09,26.16,15.49,6.19,52.59,127,124.1653265,-2.834673453,2.834673453,
315,4.82,26.36,15.47,6.6,52.59,123,122.4546258,-0.545374168,0.545374168,
316,4.83,26.93,15.63,6.64,52.6,111,122.498871,11.49887099,11.49887099,
